message_clean,sentimen
halo mpl,netral
tidak sesuai jadwal,negatif
it s onic time,positif
jam paling lambat jam malalter egom haha,negatif
jantidakn bahas tidak,negatif
rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,netral
orang jadwal nya aja,netral
ntidakret,negatif
lah jam,netral
mpl id scamming,negatif
kobtoll,positif
rrq malter egon habis subuh,negatif
woi kelamaan,negatif
kasian evos kalah ama king alter ego,negatif
tidur aja dulu gess jam,netral
its onic time,positif
its onic time nauseated face nauseated face nauseated face nauseated face,netral
mpl wacana cuki,netral
woi duit bukan,negatif
lah katanya,positif
onic,positif
hallo,netral
pembohonk publik,negatif
mpl ntidakntuk,netral
udh jam bali,netral
jam malam kont,netral
akun uda mulai live,netral
mulai wehh lama kali,negatif
kalian nungood tidakmeu apa jam kocak,negatif
noob vs noob,netral
stress tidakush bikin jadwal jam sgini akhir nya malter egonn nya malemm mahh,negatif
undur kocak,positif
nya jam,netral
guys,positif
palintidakn antar jam,netral
udah ribu nungood tidakmeuin loh loudly crying face loudly crying face,netral
al in onic,netral
woi manawoi,negatif
onic,positif
lah gw kira telat,negatif
kocak udah hampir jam,negatif
kapan we,negatif
admin tll,netral
jam pas keknya,netral
udh ki,positif
sih kek kemarin,negatif
mana final oii,positif
jam brp,netral
hadehh,negatif
php in sma atmin mpl jirr cat with tears of joy cat with tears of joy,netral
scam sidai ramai,negatif
kapan mulai nya woy,negatif
mpl kocak,positif
dah lewat jam nih,netral
c,positif
woii tepat waktu napa,positif
bilang cemilan ph pindah aja lu ph,negatif
udh yappingnya,positif
papua udh jam,netral
ez server vs ez server,netral
nahh,positif
akhirnya,positif
akhirnya tertawa,positif
batu mulai,negatif
udah,positif
atmin ntidakpin sih,negatif
ntidakret,negatif
gelo,negatif
go onic time hedgehog red heart,netral
sabar,positif
geloo cendol,negatif
nah,positif
let s go,netral
alter egoalter ego,negatif
iklan nya lamaa,negatif
yeszz,positif
malter egon jm,negatif
nah tuh bru,negatif
ntidakret woi,negatif
onic kroco,negatif
lu manado jakarta jutidak belom mulai nih mpl,negatif
sapa tadi bilang jam,netral
lama banget,negatif
lets goo alter egoe,netral
woilah nungood tidakmeu mnit,negatif
bener jam berapa tot,netral
alter ego mbapuk,negatif
hahah kene scammed baru on lagu,negatif
baru yanyi yanyi sampe setentidakh jam,netral
liat postintidakn terbaru mpl jam mulainya,netral
alter ego,negatif
bismillahh onic,positif
kapan rrq main,netral
hahaha,positif
ntidakret wee,negatif
alter ego,negatif
woi cendy pulang,negatif
mulai tidakpenting dlu inii jam baru match nya,netral
telat setentidakh jam,negatif
bismillah onic,netral
selamat menungood tidakmeu mnt lagii loudly crying face,positif
caster nya siapa sekarang,negatif
yanyi dulu menit tertawaakak,negatif
goo onic,positif
gw kira gw pertama face with tears of joy face with tears of joy,netral
onic time,positif
admin hbs makan ayam geprek,positif
tidakss,negatif
tertawaktertawa musuh fans alter egoron,negatif
onic,positif
alter ego filling gw,negatif
awas alter ego jadi jadian rolling on the floor laughing face with tears of joy,netral
lets go alter ego be the champion,netral
onic alter ego,negatif
gogogo,positif
yos,positif
cendyy,positif
tidaks alter ego yakin menang,positif
alter ego mengukir sejarah,netral
ngopi dlu nungood tidakmeu,netral
ayoo onic goo onic,positif
goo onic,positif
jir bang cendy,negatif
semantidakt alter ego salam malaysia,positif
bismillah skylar petidakng piala mpl,netral
kekny jm mulai matchny,netral
let s goo,netral
final seru sama kuat tp lebih kuat bakal jadi juara,positif
tadi minutes,netral
bissmilaah onci goo,positif
katanya mulai udh mau jam blum apa apa,netral
goo alter ego,negatif
mainnya jam keknya,netral
rrq main jam brpa,netral
alter ego letsgoo,negatif
alter ego go go go,netral
min clip youtube orang grand final uda main,netral
rrq goa,netral
goo onic,positif
alter ego pulang aja,negatif
semantidakt landak lucu red heart,positif
intinya membohongi publik,negatif
alter ego go go go,netral
onic menang,positif
what it s time,positif
goo sonic,netral
bismillah semotidak onic pleading face pleading face,positif
terserah menang tim apa karna duaduanya tim favorit ku,positif
bismillah alter ego,netral
awas alter ego jadi jadian winking face,negatif
its onic time,positif
its onic timee,positif
ndasmu go go go,netral
beras,positif
lahh cendol tertawatertawa,positif
nino maaf koh face blue smiling,netral
main nyaa jm,netral
lah fun match,positif
nungood tidakmeu jam,negatif
semantidakt onic,positif
semotidak onic menang salam blantidako,positif
lama menit,negatif
onic juaraa clip,positif
squinting face with tongue backhand index pointing up,netral
letsgoo alter ego,negatif
onic lest go,netral
magrib mah mulainya guys,netral
tenang onic juara,positif
apa kok cendy,negatif
yok onic bisaa,netral
lama,negatif
kebanyakan sarkas player sebenarnya iri player malter egon tidakme terus dapet tidakji,negatif
berharap onic juara sih,positif
dukung onic mana suaranya,positif
bismillahirrahmanirrahim semotidak onic menang,positif
jam mulainya,netral
semotidak alter ego juara biar juara baru warna baru jantidakn team aja juara,negatif
tidaksabar liat skylar juara onic,positif
onic,positif
mulainya jam berapa woii,netral
akhirnya lipe,netral
letsgoo alter ego,negatif
lets goo kink alter ego vs skyking onic,netral
vii,negatif
onic,positif
yok alter ego yok,negatif
sepi tidak king rrq,negatif
alter ego mau pulang sendiri apa pulangin onic,negatif
alter ego lokal pride,negatif
alter ego,negatif
jir lama banget jam,negatif
lama,negatif
kapan mulainya woi,negatif
kalau lihat permainan juara baru season,positif
onic,positif
alter ego go go go,netral
mnt belun ngobrol,negatif
alter ego alter ego alter ego alter egoe,netral
alter ego juara,positif
badut,negatif
kalimat lucu alter ego mengukir sejarah,netral
mnt,negatif
dah selesai yaa,netral
alter ego juara yokk,positif
wtf cendy,netral
face red droopy eyes,netral
lama,negatif
onic my heart,netral
scam,negatif
mpl id dentidakn tetidaks menentang setidakla bentuk perjudian mendukung kompetisi adil berintegritas bangun komunitas menghormati nilai nilai sportivitas dunia esports,netral
woi,negatif
jam brp grand final mulai,netral
langsung aja kasih piala mpl nya onic piala m tlph face blue smiling face blue smiling,netral
siap siap king alter ego antidakat piala,negatif
jam lama kok sdah rame aja,negatif
setidaknteng dibilang badut face with tears of joy face with tears of joy,netral
alter ego go go g,netral
let s go alter ego,netral
tandain gw onic juara gw botak pile of poo,negatif
apaa dulu,negatif
mulai nya kapan dah,negatif
go go onic,positif
alter ego mengukir sejarah baru,netral
rrq juara nih,positif
udh sonic tidak usa nonton alter ego bakal juara,positif
grandfinal mulai ntar subuh kocak,positif
evos evos divine tidakada apanya,negatif
m kapan,negatif
alter ego juara catat,netral
dah tau siapa juara nya,positif
jutaan ayok gw alter ego,negatif
lagu shinbi jier,netral
onic alter ego,negatif
onic lh jls,negatif
onic juara,positif
tidaks onic,negatif
lahh kok bang crispy,positif
alter ego juara fix,positif
semotidak kejutan buat alter ego,negatif
seketika banyak ntidaku sonic face with tears of joy,netral
onic juara catat,netral
fans karbitan,negatif
rrq kapan main,netral
skip cendyy,negatif
alter ego onic tidak usah bawa tim,negatif
jta onic,netral
alter ego cik juara sonic out aja,negatif
jm brp mulai ntidakb match satu,netral
sonic lari nek,negatif
ssmotidak onic lose,negatif
rrq juara goa rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,netral
onic menangood tidakme,negatif
alter ego juara,positif
onic timee,positif
dah main ngood tidakmea sih,negatif
nungood tidakmeu jam baru mulai,netral
kasihh alter ego aja piala nyaa,negatif
jam berapaa main,netral
onic juara tandain guee red heart,netral
xepher jenius njir,negatif
sonic lahir nek,negatif
diatas onic alter ego rolling on the floor laughing,netral
bismillah onic,netral
jam brp,netral
onic jt sini,netral
onic,positif
sepi tidak disana,negatif
