timestamp,username,message
2025-11-02 14:56:26,@markxushi,HALO MPL
2025-11-02 14:56:27,@IRVAN_24,gak sesuai jadwal
2025-11-02 14:56:27,@ZyyyElMahir,IT'S ONIC TIME
2025-11-02 14:56:31,@Sandi-or4rd,1556
2025-11-02 14:56:32,@am_I02,jam 17:00 paling lambat jam 7:00 malaem haha
2025-11-02 14:56:32,@ayayna123,jangan bahas yg gk ada
2025-11-02 14:56:32,@Arasyafuady,18:30 ini :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
2025-11-02 14:56:32,@insanmuhamad9050,orang di jadwal nya aja 17:30
2025-11-02 14:56:34,@animeplay-j3g,7
2025-11-02 14:56:36,@anton2068,NGARET 4JG
2025-11-02 14:56:37,@daelun_coco,lah masih 2 jam?
2025-11-02 14:56:38,@hardstyle007,mpl id scamming
2025-11-02 14:56:38,@februarga8538,kobtoll
2025-11-02 14:56:39,@Alfandraaa,RRQ MAEN HABIS SUBUH
2025-11-02 14:56:40,@rismahandayani6202,woi kelamaan
2025-11-02 14:56:43,@RioFebrian-fo3pg,kasian EVOS kalah Ama king AE
2025-11-02 14:56:43,@sa1nthowl,TIDUR AJA DULU GESSS MASIH 2 JAM LAGI
2025-11-02 14:56:44,@TheoJavierw,123 its onic time
2025-11-02 14:56:44,@Buzz7-l6d,its onic time:nauseated_face::nauseated_face::nauseated_face::nauseated_face:
2025-11-02 14:56:44,@MunafriAppi,mpl wacana cuki
2025-11-02 14:56:44,@azilahmamat8223,15.30 woi duit bukan 14.30
2025-11-02 14:56:45,@kingsemz,lah katanya 14:30
2025-11-02 14:56:46,@Fikri-i5f,ONIC
2025-11-02 14:56:47,@RezaRyz,hallo
2025-11-02 14:56:47,@AhmadFauzi-u4z9k,PEMBOHONK PUBLIK
2025-11-02 14:56:48,@Sandi-or4rd,15 . 56
2025-11-02 14:56:50,@king-kickk77,MPL NGANTUK KAH??
2025-11-02 14:56:52,@Hanzeditz-2,udh jam 15:56 di bali
2025-11-02 14:56:53,@Wahyusubuh-h9b,onic
2025-11-02 14:56:58,@anton2068,jam 14.30 malam ini kont
2025-11-02 14:56:58,@nisrinaayuu,ada di akun lain uda mulai live
2025-11-02 14:56:58,@Fikri-i5f,IT'S ONIC TIME
2025-11-02 14:56:59,@aqila-x5f,mulai wehh lama kali
2025-11-02 14:56:59,@JamilSaputra-c7l,kalian nunggu apa jam 17:30 kocak
2025-11-02 14:57:00,@phanuwat9143,noob vs noob
2025-11-02 14:57:00,@davidalexsander123,stressss gaush bikin jadwal jam sgini kalo akhir nya maenn nya malemm mahh
2025-11-02 14:57:01,@AidilRamadan-q9j,di undur kocak
2025-11-02 14:57:04,@sa1nthowl,TIDUR AJA DULU GESSS MASIH 2 JAM LAGI
2025-11-02 14:57:04,@StillLearning-z5t,14:30 ????
2025-11-02 14:57:05,@king-kickk77,HARUS NYA JAM 17:30
2025-11-02 14:57:05,@ZikzxcGFX,15:00 guys
2025-11-02 14:57:07,@onic037,palingan antar jam 17.30
2025-11-02 14:57:08,@ayayna123,udah 3ribu yg nungguin loh :loudly_crying_face::loudly_crying_face:
2025-11-02 14:57:10,@aqila-x5f,al in onic
2025-11-02 14:57:10,@Sahrul-q9q,woi manawoi
2025-11-02 14:57:10,@linasuryati6326,", onic"
2025-11-02 14:57:11,@KiboyB,Lah gw kira telat
2025-11-02 14:57:12,@joko7765-j6o,kocak udah hampir jam 3 ini
2025-11-02 14:57:16,@linasuryati6326,kapan we
2025-11-02 14:57:26,@muadzzalalludin,Admin tl0l
2025-11-02 14:57:27,@IRVAN_24,jam 15:00 pas keknya
2025-11-02 14:57:27,@Sahrul-q9q,udh 57 ki
2025-11-02 14:57:28,@handel-t9r,17:00 sih ini kek kemarin
2025-11-02 14:57:28,@azzamimamsyauqi1160,MANA INI FINAL OIII
2025-11-02 14:57:28,@axenn-f7g,jam brp?
2025-11-02 14:57:29,@JamilSaputra-c7l,kalian nunggu apa jam 17:30 kocak
2025-11-02 14:57:30,@TriSukawati-il6ft,hadehhh
2025-11-02 14:57:30,@king-kickk77,DI PHP IN SMA ATMIN MPL JIRR:cat_with_tears_of_joy::cat_with_tears_of_joy:
2025-11-02 14:57:31,@hardstyle007,dia scam bagi sidai ramai2
2025-11-02 14:57:32,@JamilSaputra-c7l,kalian nunggu apa jam 17:30 kocak
2025-11-02 14:57:34,@geming720,kapan mulai nya woy
2025-11-02 14:57:34,@adityawijaya065,mpl kocak
2025-11-02 14:57:34,@linasuryati6326,dah lewat jam nih
2025-11-02 14:57:37,@JoeyJordisonAkbar,C3
2025-11-02 14:57:38,@dhekagiseladamaragistano1112,"14:30 , woiiii tepat waktu napa?"
2025-11-02 14:57:38,@AidilRamadan-q9j,yang bilang cemilan pH.. Pindah aja lu ke ph
2025-11-02 14:57:40,@TriSukawati-il6ft,udh yappingnya
2025-11-02 14:57:42,@azzam6767,di Papua udh jam 16.48
2025-11-02 14:57:44,@phanuwat9143,ez server vs ez server
2025-11-02 14:57:44,@animeplay-j3g,nahh
2025-11-02 14:57:47,@IRVAN_24,akhirnya
2025-11-02 14:57:47,@IzzGanzz,akhirnya wkwk
2025-11-02 14:57:47,@Sijoo_24,batu mulai
2025-11-02 14:57:50,@ndaa_8585,udah
2025-11-02 14:57:51,@Azriiell-f,ATMIN NGAPIN SIH
2025-11-02 14:57:52,@asta7975,ngaret
2025-11-02 14:57:52,@irfanabdurrahman6170,gelo 
2025-11-02 14:57:53,@SalehSaleh-f8u,go onic time :hedgehog::red_heart:
2025-11-02 14:57:54,@nojeell,sabar
2025-11-02 14:57:55,@Rayhan_2404,gelooo cendol
2025-11-02 14:57:56,@TriSukawati-il6ft,nah
2025-11-02 14:57:56,@joem.pandeirot4720,14:30?
2025-11-02 14:57:57,@Penikmat_Musik.,let's Go
2025-11-02 14:57:58,@yuvansyah9891,aeae
2025-11-02 14:57:58,@ayayna123,iklan nya lamaaa
2025-11-02 14:57:58,@Critianomessironaldo,yeszzz
2025-11-02 14:57:59,@andra_sptra7249,maen ny jm 17:30
2025-11-02 14:58:01,@shlazzh,akhirnya
2025-11-02 14:58:01,@Sahrul-q9q,nah tuh bru
2025-11-02 14:58:02,@SalehSaleh-f8u,go onic time :hedgehog::red_heart:
2025-11-02 14:58:04,@hafizul101,ok
2025-11-02 14:58:05,@asta7975,ngaret woi
2025-11-02 14:58:05,@fikotamatoys3827,onic kroco
2025-11-02 14:58:06,@sa1nthowl,INI LU MANADO JAKARTA JUGA BELOM MULAI NIH MPL
2025-11-02 14:58:06,@adrianavriliansyah2452,NAH
2025-11-02 14:58:06,@Devinaoktaviani-z6f,akhirnya
2025-11-02 14:58:06,@IRVAN_24,sapa tadi bilang jam 17:00
2025-11-02 14:58:07,@shlazzh,lama banget
2025-11-02 14:58:07,@ngurah919,LEts goooo AEEEEE
2025-11-02 14:58:07,@Anakbaik89,woilah harus nunggu 18 mnit
2025-11-02 14:58:07,@ShiMietung-f8n,yang bener jam berapa tot
2025-11-02 14:58:08,@ahmadfajar-c6u,ae mbapuk
2025-11-02 14:58:08,@hardstyle007,hahah kene scammed baru on lagu
2025-11-02 14:58:09,@Sahrul-q9q,baru yanyi yanyi sampe setengah jam
2025-11-02 14:58:09,@sahirputra,liat postingan terbaru mpl jam 17:00 mulainya
2025-11-02 14:58:09,@ngurah919,AE
2025-11-02 14:58:09,@kamilaismatul9507,BISMILLAHH ONIC 
2025-11-02 14:58:10,@D1ckyy,AE
